publishedAt,source,title,description,url,company,sentiment_title,sentiment_description,sentiment_avg
2025-06-19T12:49:55Z,"{'id': None, 'name': 'Fs.blog'}",Indra Nooyi: Leading Without Losing Who You Are [The Knowledge Project Ep. #234],"On her first day as CEO of PepsiCo, Indra Nooyi fired her general counsel. Then rehired him before dinner. It wasn’t a stunt. It was a signal. She ran a $200 billion empire the same way she ran her life: with surgical precision, uncompromising standards, and …",https://fs.blog/knowledge-project-podcast/indra-nooyi/,Indra,0.2924,-0.5574,-0.3975
2025-06-20T16:25:57Z,"{'id': None, 'name': 'Biztoc.com'}",Spain’s Indra Downplays Franco-German Sparring Over Fighter Jet,,https://biztoc.com/x/2ce1267104a34b36,Indra,0.1531,0.0,0.22965000000000002
2025-07-10T11:20:59Z,"{'id': None, 'name': 'Skift'}",Inside Traveloka’s Southeast Asia Playbook,"After 13 years in business, Traveloka isn’t just growing, it’s doubling down. On Southeast Asia. On relevance. On being the travel app that knows the region better than anyone else.",http://skift.com/2025/07/10/inside-travelokas-southeast-asia-playbook/,Indra,0.0,0.5574,0.8361000000000001
2025-06-25T11:00:00Z,"{'id': None, 'name': 'Internet'}",Pro-Iranian Hacktivist Group Leaks Personal Records from the 2024 Saudi Games,"Thousands of personal records allegedly linked to athletes and visitors of the Saudi Games have been published online by a pro-Iranian hacktivist group called Cyber Fattah.
Cybersecurity company Resecurity said the breach was announced on Telegram on June 22,…",https://thehackernews.com/2025/06/pro-iranian-hacktivist-group-leaks.html,Indra,0.0,0.0,0.0
2025-07-12T12:03:00Z,"{'id': None, 'name': 'New Atlas'}",Bacteria in the gut found to absorb PFAS ‘forever chemicals’,"A new study published in Nature Microbiology has reported a naturally occurring family of bacterial species in the human gut that can absorb and break down toxic, long-lasting ""forever chemicals"" and carry them out as waste through feces.Continue ReadingCateg…",https://newatlas.com/health-wellbeing/bacteria-in-the-gut-found-to-absorb-pfas-forever-chemicals/,Indra,0.0,-0.4215,-0.63225
2025-07-02T13:57:08Z,"{'id': 'rt', 'name': 'RT'}",Russia and India look to expand cooperation in building warships – official,Moscow is assisting New Delhi with design and transfer of technology Read Full Article at RT.com,https://www.rt.com/india/620888-russia-and-india-look-to/,Indra,0.2023,0.0,0.30345
2025-07-03T08:26:35Z,"{'id': None, 'name': 'Lithub.com'}",A Bomb Placed Close to the Heart,"He fumbled for the watch in his pocket and found, for the fifth time since he’d arrived in the garden, that the minutes would not vapor themselves away. He had been pacing up and down the same portion of the garden’s chalky dirt pathway, avoiding the splotche…",https://lithub.com/a-bomb-placed-close-to-the-heart/,Indra,0.25,-0.5859,-0.5038499999999999
2025-07-13T18:19:16Z,"{'id': None, 'name': 'Theaviationist.com'}",Dassault Seeks 80% of FCAS Workshare to Get the Delayed Program Moving,"Partners are becoming concerned about the FCAS overshooting the 2045 deadline, as bids for the Phase 2, which will produce a demonstrator aircraft, are yet to be announced. Reflecting the growing unease over delays in the French-German-Spanish FCAS (Future Co…",https://theaviationist.com/2025/07/13/dassault-seeks-80percent-fcas-workshare/,Indra,-0.2263,-0.25,-0.71445
2025-07-03T17:28:12Z,"{'id': None, 'name': 'Live Science'}",Our gut bacteria can absorb and remove toxic 'forever chemicals' — at least in lab mice,"An experiment in lab mice found that certain human gut bacteria can absorb PFAS, commonly called ""forever chemicals,"" until they are excreted, new study finds.",https://www.livescience.com/health/our-gut-bacteria-can-absorb-and-remove-toxic-forever-chemicals-at-least-in-lab-mice,Indra,0.0,0.2732,0.4098
2025-07-11T15:36:47Z,"{'id': None, 'name': 'Project Syndicate'}",Why Is Europe Afraid of Defending Itself?,"While European countries have pledged to boost defense spending, they remain strategically reliant on the United States, an increasingly unreliable ally. As the US threatens disengagement, political leaders still refuse to ask the only question that matters: …",https://www.project-syndicate.org/commentary/defense-spending-pledge-underscores-eu-strategic-weakness-by-zaki-laidi-2025-07,Indra,0.0,0.4215,0.63225
2025-06-28T09:05:10Z,"{'id': None, 'name': 'Columbiatribune.com'}",CC Biz Buzz: Leadership through the lens of a locomotive,"When leaders separate themselves from the organization's value-creating work, they lose touch with reality and undermine their authority to lead.",https://www.columbiatribune.com/story/business/2025/06/28/cc-biz-buzz-leadership-through-the-lens-of-a-locomotive/84369946007/,Indra,0.0,-0.5574,-0.8361000000000001
2025-07-03T02:30:22Z,"{'id': None, 'name': 'International Business Times'}","4 Dead, 38 Missing After Ferry Sinks On Way To Indonesia's Bali","At least four people were dead and dozens unaccounted for Thursday after a ferry sank on its way to the resort island of Bali, according to local authorities who said 23 survivors had been plucked from the water so far.",https://www.ibtimes.com/4-dead-38-missing-after-ferry-sinks-way-indonesias-bali-3777518,Indra,-0.7579,-0.6486,-2.10975
2025-07-03T03:10:42Z,"{'id': None, 'name': 'Japan Today'}","4 dead, 38 missing after ferry sinks on its way to Bali","At least four people were dead and dozens unaccounted for Thursday after a ferry sank on its way to the resort island of Bali, according to local authorities who said 23 survivors had been plucked from the water so far. Rescuers were still racing to find miss…",https://japantoday.com/category/world/4-dead-38-missing-after-ferry-sinks-on-way-to-indonesia%27s-bali,Indra,-0.7579,-0.6486,-2.10975
2025-07-09T18:54:06Z,"{'id': None, 'name': 'EURACTIV'}",Merz acknowledges fresh tensions with France over FCAS fighter jet project,The multibillion-euro joint European next-generation fighter jet project has repeatedly faced tensions between French and German aerospace firms.,https://www.euractiv.com/section/defence/news/merz-acknowledges-fresh-tensions-with-france-over-fcas-fighter-jet-project/,Indra,0.0516,-0.2732,-0.3324
2025-07-10T06:00:00Z,"{'id': None, 'name': 'Naturalnews.com'}",Researchers discover gut bacteria that remove up to 75% of toxic PFAS “forever chemicals”,"Cambridge researchers discovered nine gut bacteria species that can absorb up to 75% of toxic PFAS “forever chemicals” from the body. These bacteria, including six Bacteroides strains, clump PFAS such as PFOA and PFNA into aggregates before expelling them as …",https://www.naturalnews.com/2025-07-10-researchers-discover-gut-bacteria-remove-toxic-pfas.html,Indra,0.0,-0.5859,-0.8788499999999999
2025-06-18T15:35:53Z,"{'id': None, 'name': 'Lithub.com'}",Here’s the shortlist for the 2025 Ursula K. Le Guin Prize for Fiction.,"Ursula K. Le Guin Foundation has announced the shortlist for the 2025 Ursula K. Le Guin Prize for Fiction, which awards $25,000 each year to the author of a book who best represents the legendary writer’s literary, moral, and aesthetic ideals: “realists of a …",https://lithub.com/heres-the-shortlist-for-the-2025-ursula-k-le-guin-prize-for-fiction/,Indra,0.5106,0.9062,2.1252
2025-06-20T23:00:00Z,"{'id': None, 'name': 'Royal Society of Chemistry'}",Hydrazine oxidation-assisted electrocatalytic water splitting with Prussian blue analog-derived V-doped CoFe-layered double hydroxide nanosheets,"J. Mater. Chem. A, 2025, Accepted ManuscriptDOI: 10.1039/D5TA02480C, Paper Open Access &nbsp This article is licensed under a Creative Commons Attribution-NonCommercial 3.0 Unported Licence.Baghendra Singh, Toufik Ansari, Arindam IndraIn this study, we report…",https://pubs.rsc.org/en/content/articlelanding/2025/ta/d5ta02480c,Indra,0.0,0.6124,0.9186000000000001
2025-06-20T16:25:57Z,"{'id': None, 'name': 'Biztoc.com'}",Spain’s Indra Downplays Franco-German Sparring Over Fighter Jet,,https://biztoc.com/x/2ce1267104a34b36,Indra,0.1531,0.0,0.22965000000000002
2025-06-26T13:41:38Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",RBI rate cuts to revive slow credit growth in FY26,"India Ratings and Research anticipates a rebound in banking sector credit growth, spurred by the Reserve Bank of India's rate cuts. While credit growth slowed to 9.9% in April 2025, IndRa projects a rise to 13%-13.5% for the current fiscal year. This growth w…",https://economictimes.indiatimes.com/news/economy/indicators/rbi-rate-cuts-to-revive-slow-credit-growth-in-fy26/articleshow/122094016.cms,Indra,0.6597,0.8807,2.3106
2025-07-10T13:57:22Z,"{'id': None, 'name': 'EURACTIV'}",Franco-German fighter jet clash clouds future ahead of Macron-Merz talks,"Reported French demands for a greater share of work in the fighter jet programme have escalated long-standing tensions with Airbus, which leads the German side of the project.",https://www.euractiv.com/section/defence/news/franco-german-fighter-jet-clash-clouds-future-ahead-of-macron-merz-talks/,Indra,0.1531,0.3818,0.8023499999999999
2025-07-11T11:17:09Z,"{'id': None, 'name': 'EURACTIV'}","Indra moves to dominate Spain’s defence sector, but raises conflict-of-interest concerns",Critics warn the deal could distort market competition and breach Spanish and EU competition law.,https://www.euractiv.com/section/defence/news/indra-moves-to-dominate-spains-defence-sector-but-raises-conflict-of-interest-concerns/,Indra,-0.0129,-0.5994,-0.9184500000000001
2025-07-02T05:05:32Z,"{'id': None, 'name': 'Science Daily'}",Tiny gut “sponge” bacteria found to flush out toxic PFAS “forever chemicals”,"Cambridge scientists have spotted gut bacteria that greedily soak up PFAS “forever chemicals,” then ferry them safely out of the body in animal tests, removing up to three-quarters of the toxins within minutes. Their findings hint at probiotic pills that coul…",https://www.sciencedaily.com/releases/2025/07/250701234742.htm,Indra,0.0,0.0772,0.11580000000000001
2025-07-03T02:56:36Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}","Nykaa shares in focus as early investors plan Rs 1,200-crore stake sale via block deal","Early investors of Nykaa, Harindarpal Singh Banga and Indra Banga, are set to sell shares. The sale could reach Rs 1,200 crore through a block deal. Up to 60 million shares will be sold at Rs 200 each. Goldman Sachs and JP Morgan are managing the deal. Procee…",https://economictimes.indiatimes.com/markets/stocks/news/nykaa-shares-in-focus-as-early-investors-plan-rs-1200-crore-stake-sale-via-block-deal/articleshow/122217196.cms,Indra,-0.1779,0.4824,0.45675
2025-07-07T06:00:00Z,"{'id': None, 'name': 'Naturalnews.com'}",Got good gut bacteria? You need it to remove FOREVER CHEMICALS from your body,"A groundbreaking new study has found that specific human gut bacteria can absorb and help excrete toxic “forever chemicals,” scientifically known as PFAS (per- and polyfluoroalkyl substances), at least in laboratory mice. This discovery, published in Nature M…",https://www.naturalnews.com/2025-07-07-need-good-gut-bacteria-remove-forever-chemicals.html,Indra,0.4404,0.4019,1.2634500000000002
2025-07-11T11:23:06Z,"{'id': None, 'name': 'Biztoc.com'}","Indra moves to dominate Spain’s defence sector, but raises conflict-of-interest concerns","MADRID – Spanish technology and defence giant Indra began formal merger negotiations with defence company Escribano Mechanical & Engineering (EM&E) on Thursday, a move that would consolidate the country's growing defence sector.
The proposed deal has sparked …",https://biztoc.com/x/47497e1823bfe4e3,Indra,-0.0129,0.4404,0.64125
2025-07-03T09:05:18Z,"{'id': None, 'name': 'BusinessLine'}",Nykaa shares fall 5% after Banga family offload 2.1% stake in bulk deal,FSN E-Commerce Ventures (Nykaa) stock witnessed a sharp fall on Thursday after Banga family offloaded a 2.1 per cent stake in the company.,https://www.thehindubusinessline.com/markets/stock-markets/nykaa-shares-fall-5-after-banga-family-offload-21-stake-in-bulk-deal/article69767718.ece,Indra,0.296,0.0,0.44399999999999995
